
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001782                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  932051                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            790439                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect             59268                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups               295751                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                  294428                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.995527                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                    9398                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  1                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             445                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 24                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              421                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          122                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         1946829                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.branchMispredicts             57505                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      1499652                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     2.803998                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.885585                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0          481957     32.14%     32.14% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          173023     11.54%     43.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          209593     13.98%     57.65% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          128706      8.58%     66.23% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          144443      9.63%     75.87% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5           31847      2.12%     77.99% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           70100      4.67%     82.66% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           10777      0.72%     83.38% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          249206     16.62%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total      1499652                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted              2515852                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                4205021                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                      657291                       # Number of memory references committed (Count)
system.cpu.commit.loads                        376821                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                     513039                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                      99847                       # Number of committed floating point instructions. (Count)
