
---------- Begin Simulation Statistics ----------
simSeconds                                   0.025142                       # Number of seconds simulated (Second)
system.cpu.intAluAccesses                    15914028                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                      2251530                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                          17865827                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                        130041                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                      1500                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                            2337529                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        2272939                       # Number of branches executed (Count)
system.cpu.numStoreInsts                      2207488                       # Number of stores executed (Count)
system.cpu.numRate                           0.710585                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             404                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           28076                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     9998499                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      17799282                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               2.514618                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          2.514618                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.397675                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.397675                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   22754958                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  11384373                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                     4376977                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                    2000974                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                    11363481                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    9088599                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                   6885285                       # number of misc regfile reads (Count)
system.cpu.MemDepUnit__0.insertedLoads         130760                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       2208142                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads           43                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores           29                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
