
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000371                       # Number of seconds simulated (Second)
system.cpu0.numRefs                            104342                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                         59460                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                       21767                       # Number of stores executed (Count)
system.cpu0.numRate                          0.884830                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                           4180                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         105645                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                       97279                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                     206926                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                       382575                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              3.117370                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         3.117370                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              0.320783                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         0.320783                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                    816742                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                   460404                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                      19890                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                     10752                       # Number of floating regfile writes (Count)
system.cpu0.ccRegfileReads                     298143                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                    201783                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads                   237696                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites                     126                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads         81387                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores        24224                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads         1698                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores         2200                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups                  91207                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted            74780                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect             6126                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups               34803                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits                  32362                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.929862                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                   1969                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                 7                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups           1933                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits               251                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses            1682                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted          449                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts         263624                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls            396                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts             5856                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples       500016                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     0.765126                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     1.948201                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0         396762     79.35%     79.35% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1          32214      6.44%     85.79% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2          13976      2.80%     88.59% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3          18301      3.66%     92.25% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4           5793      1.16%     93.41% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5           3327      0.67%     94.07% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6           3176      0.64%     94.71% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7           3093      0.62%     95.33% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8          23374      4.67%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total       500016                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted              206926                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted                382575                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                      67261                       # Number of memory references committed (Count)
system.cpu0.commit.loads                        49631                       # Number of loads committed (Count)
system.cpu0.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                        180                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                     44989                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                     10804                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                     374452                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls                 1165                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass         1823      0.48%      0.48% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu       305917     79.96%     80.44% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult           26      0.01%     80.45% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv         1764      0.46%     80.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd          598      0.16%     81.06% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     81.06% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt          224      0.06%     81.12% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            0      0.00%     81.12% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     81.12% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     81.12% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc            0      0.00%     81.12% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     81.12% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd          644      0.17%     81.29% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     81.29% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu         1223      0.32%     81.61% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     81.61% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt         1414      0.37%     81.98% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc         1370      0.36%     82.34% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     82.34% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     82.34% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift          311      0.08%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAlu            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatCmp            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatCvt            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatDiv            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMisc            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMult            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     82.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     82.42% # Class of committed instruction (Count)
