
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001493                       # Number of seconds simulated (Second)
system.cpu.timesIdled                             490                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           88489                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     8108562                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      14479103                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.736741                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.736741                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.357330                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.357330                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                    8146762                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                   2161072                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                    13371393                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                   11864216                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                     1492118                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    1782309                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                   3373485                       # number of misc regfile reads (Count)
system.cpu.MemDepUnit__0.insertedLoads        2627128                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        134552                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads           27                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores           16                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  300866                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            299096                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              1221                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups               264714                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                  263754                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.996373                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                     404                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  1                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             495                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 33                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              462                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          125                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts           21175                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.branchMispredicts              1223                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      5881984                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     2.461602                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     3.108373                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         3170862     53.91%     53.91% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          210444      3.58%     57.49% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          308924      5.25%     62.74% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3           90429      1.54%     64.28% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          166817      2.84%     67.11% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          858490     14.60%     81.71% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           21007      0.36%     82.06% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7          146324      2.49%     84.55% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          908687     15.45%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total      5881984                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted              8108562                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               14479103                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     2757131                       # Number of memory references committed (Count)
system.cpu.commit.loads                       2623892                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                     297828                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                   11994566                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                     5204501                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                   215                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass          534      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu      2545668     17.58%     17.59% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult           13      0.00%     17.59% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           35      0.00%     17.59% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd      4718741     32.59%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd            0      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu          134      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp           12      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt           96      0.00%     50.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc       262432      1.81%     51.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     51.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     51.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     51.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     51.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     51.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     51.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd      2097152     14.48%     66.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     66.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     66.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            3      0.00%     66.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     66.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     66.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult      2097152     14.48%     80.96% # Class of committed instruction (Count)
